Name	Set	ImageFile	Type	Subtypes	Rarity	Color	Cost	Inkwell	Strength	Willpower	Quest	Abilities	Identifier	Rules	Flavor	Number	Artist
Captain Hook, Captain of the Jolly Roger	1	572e20738130fddc7c389f2ab14f4e4b22a97c39	Character	["Storyborn", "Pirate", "Villain", "Captain"]	RARE	STEEL	4	False	3	4	1	[]	1 TFC EN 173/204	DOUBLE THE POWDER! When you play this character, you may return an action card named Fire the Cannons! from your discard to your hand.	A pretty sight, Mr. Smee. We’ll pot ’em like sitting ducks.	173	Adrianne Gumaya
Captain Hook, Forceful Duelist	1	d094700e379f0fb3b543e25c77f8e4b3e068f057	Character	["Pirate", "Villain", "Dreamborn", "Captain"]	COMMON	STEEL	1	True	1	2	1	["Challenger"]	1 TFC EN 174/204	Challenger +2 (While challenging, this character gets +2.)	He loves to make light of a foe’s predicament.	174	Marcel Berg
Captain Hook, Thinking a Happy Thought	1	04f1241ed2b1b531c2c853ce1eeff952cd0f40f3	Character	["Floodborn", "Pirate", "Villain", "Captain"]	RARE	STEEL	5	False	2	5	1	["Shift", "Challenger"]	1 TFC EN 175/204	'Shift 3 (You may pay 3 to play this on top of one of your characters named Captain Hook.) Challenger +3 (While challenging, this character gets +3.) STOLEN DUST Characters with cost 3 or less can''t challenge this character.'		175	Elliot Bocxtaele
Cerberus, Three-Headed Dog	1	5c8f5ac0b7ad23c110793ad1fcf4d3c8d41344d5	Character	["Storyborn"]	COMMON	STEEL	5	True	5	6	1	[]	1 TFC EN 176/204		Always vigilant. Always fierce. Always fighting over the ball.	176	Oleg Yurkov
Donald Duck, Musketeer	1	26e7458dc56ab2830fadba7bd2c1aa10e981518d	Character	["Musketeer", "Dreamborn", "Hero"]	UNCOMMON	STEEL	4	True	2	5	1	["Bodyguard"]	1 TFC EN 177/204	Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.) STAY ALERT! During your turn, your Musketeer characters gain Evasive. (They can challenge characters with Evasive.)		177	Dav Augereau
Gantu, Galactic Federation Captain	1	25293f2761d658cc70c19515861842d712751bdc	Character	["Storyborn", "Captain", "Alien"]	LEGENDARY	STEEL	8	True	6	6	2	[]	1 TFC EN 178/204	'UNDER ARREST Characters with cost 2 or less can''t challenge your characters.'	Relax, enjoy the trip. . . and don’t get any ideas!	178	Luis Huerta
Goons, Maleficent’s Underlings	1	9e44d2771c052d44058245eda6cb334689ca78cc	Character	["Ally", "Storyborn"]	COMMON	STEEL	1	True	2	2	1	[]	1 TFC EN 179/204		They may be useless, but they came with the castle.	179	Cam Kendell
Hans, Thirteenth in Line	1	ec7f1f65067126f3b2bd1037de8a18d0db2ec84b	Character	["Storyborn", "Prince", "Villain"]	SUPER	STEEL	4	True	3	3	2	[]	1 TFC EN 180/204	STAGE A LITTLE ACCIDENT Whenever this character quests, you may deal 1 damage to chosen character.	Tired of being last, he decided to cut the line.	180	Kendall Hale
Hercules, True Hero	1	aee544ceddfe7ab69a02f82bdf8ce6ea3862ff02	Character	["Prince", "Dreamborn", "Hero"]	COMMON	STEEL	3	True	3	3	1	["Bodyguard"]	1 TFC EN 181/204	Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)	You gotta admit, that was pretty heroic.	181	Marcel Berg
Kristoff, Official Ice Master	1	58f0744907ea8bd8e0f51e568f1536289ceb40a5	Character	["Ally", "Storyborn"]	COMMON	STEEL	3	True	3	3	2	[]	1 TFC EN 182/204		Kristoff: You want to talk about a supply and demand problem? I sell ice for a living. Anna: Ooh, that’s a rough business to be in right now. I mean, that is really—ah, mm. That’s unfortunate.	182	Ron Baird
Kronk, Right-Hand Man	1	dc685e2c3fd7a3a63944383a54aa249ea27f5fdd	Character	["Ally", "Storyborn"]	UNCOMMON	STEEL	6	True	6	6	2	[]	1 TFC EN 183/204		Oh yeah. It’s all coming together!	183	Jake Parker
Lilo, Galactic Hero	1	bcf814ab41506290ab1b8158ebda6ee61b4bb579	Character	["Hero", "Dreamborn"]	UNCOMMON	STEEL	3	True	4	2	2	[]	1 TFC EN 184/204		'Space. That''s where aliens come from. And also tourists!'	184	Jared Nickerl
Maui, Demigod	1	cfa2ed2aac6d61f44ca9cba73e1e8946b7cd7d22	Character	["Storyborn", "Deity", "Hero"]	RARE	STEEL	8	True	8	8	3	[]	1 TFC EN 185/204		When the gods gift you a boat, you take it. The boat’s owner is optional.	185	Isaiah Mesq
Mickey Mouse, Musketeer 	1	87d538ef1c1db71603e60f278446c86470162380	Character	["Musketeer", "Dreamborn", "Hero"]	RARE	STEEL	6	True	2	7	2	["Bodyguard"]	1 TFC EN 186/204	Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.) ALL FOR ONE Your other Musketeer characters get +1.		186	Jochem Van Gool
Prince Eric, Dashing and Brave	1	f67462663a512121ffada791890b558ee8b38773	Character	["Storyborn", "Prince", "Hero"]	COMMON	STEEL	2	True	1	3	1	["Challenger"]	1 TFC EN 187/204	Challenger +2 (While challenging, this character gets +2.)	'I lost her once! I''m not gonna lose her again!'	187	Cristian Romero
Simba, Future King	1	acf1fffc01dc0193aa07d0b1de723c292a2c826d	Character	["Storyborn", "Prince", "Hero"]	COMMON	STEEL	1	True	1	2	1	[]	1 TFC EN 188/204	GUESS WHAT? When you play this character, you may draw a card, then choose and discard a card.	I’m gonna be the best king the Pride Lands have ever seen!	188	Nicholas Kole
Simba, Returned King	1	e54183e2a040e6c09e61eb22d542e3d57074b351	Character	["Storyborn", "Hero", "King"]	RARE	STEEL	7	True	4	6	2	["Challenger"]	1 TFC EN 189/204	Challenger +4 (While challenging, this character gets +4.) POUNCE During your turn, this character gains Evasive. (They can challenge characters with Evasive.)	I’ll do whatever it takes to save my kingdom.	189	Nicholas Kole
Simba, Rightful Heir	1	3a2dc677d8e85ac856541744e288d504882feb36	Character	["Storyborn", "Prince", "Hero"]	UNCOMMON	STEEL	5	False	3	5	2	[]	1 TFC EN 190/204	I KNOW WHAT I HAVE TO DO During your turn, whenever this character banishes another character in a challenge, you gain 1 lore.	I can’t hide anymore. It’s time to accept my destiny.	190	Michael "Cookie" Niewiadomy
Starkey, Hook’s Henchman	1	2fcc820fc1d95b1e8a3a219c7e3689bb8d65042c	Character	["Storyborn", "Ally", "Pirate"]	UNCOMMON	STEEL	5	True	5	4	1	[]	1 TFC EN 191/204	AYE AYE, CAPTAIN While you have a Captain character in play, this character gets +1.	'A pirate must be tough, loyal, and strong. Smart doesn''t even make the list.'	191	Leonardo Giammichele
Te Kā, Heartless	1	19a448c01aa2e7d55979473b647e282459995b85	Character	["Villain", "Deity", "Dreamborn"]	LEGENDARY	STEEL	6	True	5	5	2	[]	1 TFC EN 192/204	SEEK THE HEART During your turn, whenever this character banishes another character in a challenge, you gain 2 lore.	Maui: Ever defeat a lava monster? Moana: No. Have you?	192	Andrew Trabbold
Tinker Bell, Giant Fairy	1	14bb99f81147d2705f53a1d75337b2ec3e10d23a	Character	["Fairy", "Ally", "Floodborn"]	SUPER	STEEL	6	True	4	5	2	["Shift"]	1 TFC EN 193/204	Shift 4 (You may pay 4 to play this on top of one of your characters named Tinker Bell.) ROCK THE BOAT When you play this character, deal 1 damage to each opposing character. PUNY PIRATE! During your turn, whenever this character banishes another character in a challenge, you may deal 2 damage to chosen opposing character.		193	Michael "Cookie" Niewiadomy
Tinker Bell, Tiny Tactician	1	2a79f14120945873482b7823caabe2fcde848722	Character	["Ally", "Dreamborn", "Fairy"]	COMMON	STEEL	3	True	2	4	1	[]	1 TFC EN 194/204	BATTLE PLANS Draw a card, then choose and discard a card.	Sometimes all you need is a little tactical genius.	194	Grace Tran
A Whole New World	1	752ae7bdbb96bf25280b55990570beabf2048ce0	Action	["Song"]	SUPER	STEEL	5	False				[]	1 TFC EN 195/204	(A character with cost 5 or more can to sing this song for free.) Each player discards their hand and draws 7 cards.	Shining, shimmering, splendid. . .	195	Koni
Break	1	4dea1daedbe9dc1d643b0f0eb8ab57c7d532f771	Action	[]	COMMON	STEEL	2	True				[]	1 TFC EN 196/204	Banish chosen item.	No one throws a tantrum like a beast.	196	Grace Tran
Fire the Cannons!	1	61188f24396807ba7ca38919a158766de935852e	Action	[]	COMMON	STEEL	1	False				[]	1 TFC EN 197/204	Deal 2 damage to chosen character.	Captain Hook: Double the powder and shorten the fuse! Mr. Smee: Shorten the powder and double the fuse!	197	Matt Chapman
Grab Your Sword	1	c837307a9a2ad4d08ca61a4f1bd848ba3d6890fc	Action	["Song"]	RARE	STEEL	5	False				[]	1 TFC EN 198/204	(A character with cost 5 or more can to sing this song for free.) Deal 2 damage to each opposing character.	We don’t like What we don’t understand In fact, it scares us	198	Peter Brockhammer
Ransack	1	2952aeca0fe15cf310ede96c437acb94b2b208f1	Action	[]	UNCOMMON	STEEL	2	True				[]	1 TFC EN 199/204	Draw 2 cards, then choose and discard 2 cards.	Who has time to read labels?	199	Amber Kommavongsa
Smash	1	9f9af029585ba014e07cd3910ca976cf56160616	Action	[]	UNCOMMON	STEEL	3	True				[]	1 TFC EN 200/204	Deal 3 damage to chosen character.	Go away!	200	Simangaliso Sibaya
Beast’s Mirror	1	7f03f3f2febc46f3fa832d98251b0c98f64bc19b	Item	[]	COMMON	STEEL	2	True				[]	1 TFC EN 201/204	SHOW ME If you have no cards in your hand, draw a card.	Ashamed of his monstrous form, the Beast concealed himself inside his castle, with a magic mirror as his only window to the outside world.	201	Samanta Erdini
Frying Pan	1	1e7b95c5614637fdcde70eb7f2d109134c95c6bf	Item	[]	UNCOMMON	STEEL	2	True				[]	1 TFC EN 202/204	'CLANG! Banish this item Chosen character can''t challenge during their next turn.'	It’s a fine piece of cookware, but as a weapon it’s truly stunning.	202	Kamil Murzyn
Musketeer Tabard 	1	a165fbd61c277745f187eaac7182d9c05d0d1171	Item	[]	RARE	STEEL	4	False				[]	1 TFC EN 203/204	ALL FOR ONE AND ONE FOR ALL Whenever one of your characters with Bodyguard is banished, you may draw a card.	There’s no such thing as a lone musketeer.	203	Dav Augereau
Plasma Blaster	1	1cc641954099c249e0e4ef0402da3fd0364d95f0	Item	[]	RARE	STEEL	3	False				[]	1 TFC EN 204/204	QUICK SHOT Deal 1 damage to chosen character.	'You don''t have to say ‘pew pew’ when you use it, but it doesn''t hurt. —Lilo, galactic hero'	204	Oleg Yurkov
Hades, King of Olympus	1	5f1cd7c3fb68ae7c679f8c33966610670d32ff1e	Character	["King", "Floodborn", "Villain", "Deity"]	ENCHANTED	AMBER	8	False	6	7	1	["Shift"]	1 TFC EN 205/204	Shift 6 (You may pay 6 to play this on top of one of your characters named Hades.) SINISTER PLOT This character gets +1 for each other Villain character you have in play.		205	Juan Diego Leon
Stitch, Carefree Surfer	1	4afa8f9e90756f0f919a124a1dfbba19be004edc	Character	["Hero", "Dreamborn", "Alien"]	ENCHANTED	AMBER	7	True	4	8	2	[]	1 TFC EN 206/204	OHANA When you play this character, if you have 2 or more other characters in play, you may draw 2 cards.		206	Milica Celikovic
Elsa, Spirit of Winter	1	3be76cc016a8c850661956c5f71d14c621cf6a69	Character	["Floodborn", "Sorcerer", "Queen", "Hero"]	ENCHANTED	AMETHYST	8	False	4	6	3	["Shift"]	1 TFC EN 207/204	'Shift 6 (You may pay 6 to play this on top of one of your characters named Elsa.) DEEP FREEZE When you play this character, exert up to 2 chosen characters. They can''t ready at the start of their next turn.'		207	Matthew Robert Davies
Mickey Mouse, Wayward Sorcerer	1	baab34018148392463ef4c49b5a924409cf5f7b0	Character	["Sorcerer", "Dreamborn"]	ENCHANTED	AMETHYST	4	True	3	4	2	[]	1 TFC EN 208/204	ANIMATE BROOM You pay 1 less to play Broom characters. CEASELESS WORKER Whenever one of your Broom characters is banished in a challenge, you may return that card to your hand.		208	Cam Kendell
Genie, On the Job	1	acfdd18ea7f4a2ba74132ba977dc207204142994	Character	["Ally", "Storyborn"]	ENCHANTED	EMERALD	6	False	3	4	2	["Evasive"]	1 TFC EN 209/204	'Evasive (Only characters with Evasive can challenge this character.) DISAPPEAR When you play this character, you may return chosen character to their player''s hand.'		209	Cristian Romero
Mickey Mouse, Artful Rogue	1	135debd4837026bf06c7bfc5d1e0c6a31611af1d	Character	["Hero", "Floodborn"]	ENCHANTED	EMERALD	7	False	6	5	2	["Shift"]	1 TFC EN 210/204	'Shift 5 (You may pay 5 to play this on top of one of your characters named Mickey Mouse.) MISDIRECTION Whenever you play an action, chosen opposing character can''t quest during their next turn.'		210	Kendall Hale
Aladdin, Heroic Outlaw	1	1b4a364f76e9fa8073516100ed65590c50a6d5e9	Character	["Hero", "Floodborn"]	ENCHANTED	RUBY	7	True	5	5	2	["Shift"]	1 TFC EN 211/204	Shift 5 (You may pay 5 to play this on top of one of your characters named Aladdin.) DARING EXPLOIT During your turn, whenever this character banishes another character in a challenge, you gain 2 lore and each opponent loses 2 lore.		211	Massimiliano Narciso
Maui, Hero to All	1	e2154fea5da2dd0d1732ff30931723c2973003a0	Character	["Storyborn", "Deity", "Hero"]	ENCHANTED	RUBY	5	False	6	5	0	["Rush", "Reckless"]	1 TFC EN 212/204	'Rush (This character can challenge the turn they''re played.) Reckless (This character can''t quest and must challenge each turn if able.)'		212	Pirel / Stefano Zanchi
Aurora, Dreaming Guardian	1	19187dc98dce52fa4c4e8e05b341a9b77a51fd26	Character	["Princess", "Hero", "Floodborn"]	ENCHANTED	SAPPHIRE	5	True	3	5	2	["Shift"]	1 TFC EN 213/204	'Shift 3 (You may pay 3 to play this on top of one of your characters named Aurora.) PROTECTIVE EMBRACE Your other characters gain Ward. (Opponents can''t choose them except to challenge.)'		213	Clio Wolfensberger
Belle, Strange but Special	1	9a15f42d1c524c306eb91c3df1216db248a8f224	Character	["Storyborn", "Princess", "Hero"]	ENCHANTED	SAPPHIRE	4	False	2	4	1	[]	1 TFC EN 214/204	READ A BOOK During your turn, you may put an additional card from your hand into your inkwell facedown. MY FAVORITE PART! While you have 10 or more cards in your inkwell, this character gets +4.		214	Valerio Buonfantino
Simba, Returned King	1	828f720439cefaeb3acc7a7babce0a28abaa07a3	Character	["Storyborn", "Hero", "King"]	ENCHANTED	STEEL	7	True	4	6	2	["Challenger"]	1 TFC EN 215/204	Challenger +4 (While challenging, this character gets +4.) POUNCE During your turn, this character gains Evasive. (They can challenge characters with Evasive.)		215	Hedvig Häggman-Sund
Tinker Bell, Giant Fairy	1	0bad865a02d82f4970687ffe1b80822b76cc0626	Character	["Fairy", "Ally", "Floodborn"]	ENCHANTED	STEEL	6	True	4	5	2	["Shift"]	1 TFC EN 216/204	Shift 4 (You may pay 4 to play this on top of one of your characters named Tinker Bell.) ROCK THE BOAT When you play this character, deal 1 damage to each opposing character. PUNY PIRATE! During your turn, whenever this character banishes another character in a challenge, you may deal 2 damage to chosen opposing character.		216	Michael "Cookie" Niewiadomy
